Frequency,Age,Conductivity_Mean,RelativePermittivity_Mean,Label,Orientation_Transverse,Disease_ActRIIB,Disease_MDX,Disease_PBS,Disease_SMA
37000,43,0.103357343,14016.13004,0,TRUE,FALSE,TRUE,FALSE,FALSE
37000,6,0.349169315,32272.18035,0,FALSE,FALSE,TRUE,FALSE,FALSE
37000,6,0.232873254,28894.3089,0,TRUE,FALSE,TRUE,FALSE,FALSE
37000,40,0.156483721,16427.47929,0,FALSE,FALSE,FALSE,FALSE,TRUE
37000,40,0.05434918,11633.15561,0,TRUE,FALSE,FALSE,FALSE,TRUE
44000,16,0.107848462,25564.3278,0,FALSE,FALSE,FALSE,FALSE,FALSE
44000,16,0.100916963,24000.2799,0,TRUE,FALSE,FALSE,FALSE,FALSE
44000,18,0.109085667,28348.57786,0,FALSE,FALSE,FALSE,FALSE,FALSE
44000,18,0.09131602,21527.91517,0,TRUE,FALSE,FALSE,FALSE,FALSE
44000,8,0.216970061,43087.41765,0,FALSE,FALSE,FALSE,FALSE,FALSE
44000,8,0.104167089,29570.52921,0,TRUE,FALSE,FALSE,FALSE,FALSE
44000,10,0.367002418,33261.59923,0,FALSE,FALSE,TRUE,FALSE,FALSE
44000,10,0.248383828,28896.2467,0,TRUE,FALSE,TRUE,FALSE,FALSE
44000,13,0.412745976,36875.5039,0,FALSE,FALSE,TRUE,FALSE,FALSE
44000,13,0.319397111,37232.40698,0,TRUE,FALSE,TRUE,FALSE,FALSE
44000,43,0.168310088,11078.28247,0,FALSE,FALSE,TRUE,FALSE,FALSE
44000,43,0.106517212,12741.00006,0,TRUE,FALSE,TRUE,FALSE,FALSE
44000,6,0.356702406,28353.0795,0,FALSE,FALSE,TRUE,FALSE,FALSE
44000,6,0.238946132,26327.21034,0,TRUE,FALSE,TRUE,FALSE,FALSE
44000,40,0.160364686,14393.17056,0,FALSE,FALSE,FALSE,FALSE,TRUE
44000,40,0.056753458,10717.97926,0,TRUE,FALSE,FALSE,FALSE,TRUE
50000,16,0.112392396,24014.3353,0,FALSE,FALSE,FALSE,FALSE,FALSE
50000,16,0.105011554,22632.11406,0,TRUE,FALSE,FALSE,FALSE,FALSE
50000,18,0.113572962,26750.72972,0,FALSE,FALSE,FALSE,FALSE,FALSE
50000,18,0.09475393,20325.97066,0,TRUE,FALSE,FALSE,FALSE,FALSE
50000,8,0.225574497,40078.69616,0,FALSE,FALSE,FALSE,FALSE,FALSE
50000,8,0.109354766,27892.34842,0,TRUE,FALSE,FALSE,FALSE,FALSE
50000,10,0.374069774,30426.3891,0,FALSE,FALSE,TRUE,FALSE,FALSE
50000,10,0.254059114,26792.68793,0,TRUE,FALSE,TRUE,FALSE,FALSE
50000,13,0.420626136,33529.83351,0,FALSE,FALSE,TRUE,FALSE,FALSE
50000,13,0.32680345,34396.83521,0,TRUE,FALSE,TRUE,FALSE,FALSE
50000,43,0.170574967,10051.63228,0,FALSE,FALSE,TRUE,FALSE,FALSE
50000,43,0.109013302,11848.47479,0,TRUE,FALSE,TRUE,FALSE,FALSE
50000,6,0.362539216,25737.63775,0,FALSE,FALSE,TRUE,FALSE,FALSE
50000,6,0.244080853,24542.73275,0,TRUE,FALSE,TRUE,FALSE,FALSE
50000,40,0.163248212,13055.21956,0,FALSE,FALSE,FALSE,FALSE,TRUE
50000,40,0.058759209,10038.02529,0,TRUE,FALSE,FALSE,FALSE,TRUE
62000,16,0.121260958,21442.95417,0,FALSE,FALSE,FALSE,FALSE,FALSE
62000,16,0.112617008,20356.95865,0,TRUE,FALSE,FALSE,FALSE,FALSE
62000,18,0.125598883,25031.12484,0,FALSE,FALSE,FALSE,FALSE,FALSE
62000,18,0.112898821,20689.87554,0,TRUE,FALSE,FALSE,FALSE,FALSE
62000,8,0.242875098,35616.72442,0,FALSE,FALSE,FALSE,FALSE,FALSE
62000,8,0.121665511,25764.60265,0,TRUE,FALSE,FALSE,FALSE,FALSE
62000,10,0.386739725,25862.85553,0,FALSE,FALSE,TRUE,FALSE,FALSE
62000,10,0.264689368,23484.19222,0,TRUE,FALSE,TRUE,FALSE,FALSE
62000,13,0.434595497,28588.97171,0,FALSE,FALSE,TRUE,FALSE,FALSE
62000,13,0.340464157,30017.28121,0,TRUE,FALSE,TRUE,FALSE,FALSE
62000,43,0.17436119,8541.807813,0,FALSE,FALSE,TRUE,FALSE,FALSE
62000,43,0.113724242,10394.78505,0,TRUE,FALSE,TRUE,FALSE,FALSE
62000,6,0.372879459,21737.25612,0,FALSE,FALSE,TRUE,FALSE,FALSE
62000,6,0.253419598,21703.8295,0,TRUE,FALSE,TRUE,FALSE,FALSE
62000,40,0.168435499,11019.52657,0,FALSE,FALSE,FALSE,FALSE,TRUE
62000,40,0.06268288,8959.236257,0,TRUE,FALSE,FALSE,FALSE,TRUE
74000,16,0.12969945,19629.57131,0,FALSE,FALSE,FALSE,FALSE,FALSE
74000,16,0.120353157,18929.34212,0,TRUE,FALSE,FALSE,FALSE,FALSE
74000,18,0.129885776,22273.77187,0,FALSE,FALSE,FALSE,FALSE,FALSE
74000,18,0.107661762,16970.15454,0,TRUE,FALSE,FALSE,FALSE,FALSE
74000,8,0.255085602,31764.39417,0,FALSE,FALSE,FALSE,FALSE,FALSE
74000,8,0.128574354,23250.51651,0,TRUE,FALSE,FALSE,FALSE,FALSE
74000,10,0.397878891,22486.12985,0,FALSE,FALSE,TRUE,FALSE,FALSE
74000,10,0.274374199,20950.80421,0,TRUE,FALSE,TRUE,FALSE,FALSE
